le_abbr;le_stand;le_full;le_country;source
GenmbH;GENMBH;Genossenschaft mit beschränkter Haftung;BE;ECB
GenmubH;GENMUBH;Genossenschaft mit unbeschränkter Haftung;BE;ECB
GIE;GIE;Groupement d'intérêt économique;FR;ECB
GIE;GIE;Groupement d'intérêt économique;LU;ECB
GIE;GIE;Grupul de interes economic;RO;ECB
GIE;GIE;Groupement d'intérêt économique;BE;ECB
GIE FS;GIE FS;Groupement d'intérêt économique à finalité sociale;BE;ECB
GIM;GIM;Ģimenes uzņēmums;LV;ECB
GIP;GIP;Groupement d'intérêt public;FR;ECB
GIU;GIU;Gospodarsko interesno udruženje;HR;ECB
GIZ;GIZ;Gospodarsko interesno združenje GIZ;SI;ECB
GmbH;GMBH;Gesellschaft mit beschränkter Haftung;AT;ECB
GmbH;GMBH;Gesellschaft mit beschränkter Haftung;DE;ECB
GmbH & Co KG;GMBH & CO KG;Gesellschaft mit beschränkter Haftung & Compagnie Kommanditgesellschaft;DE;ECB
GmbH & Co KGaA;GMBH & CO KGAA;Gesellschaft mit beschränkter Haftung & Compagnie Kommanditgesellschaft an Aktien;DE;ECB
GmbH & Co OHG;GMBH & CO OHG;Gesellschaft mit beschränkter Haftung & Compagnie offene Handelsgesellschaft;DE;ECB
GmuHGB;GMUHGB;Öffentlich-rechtliche Genossenschaft mit unbeschränkter Haftung, Genossenschaft auf Beteiligung;BE;ECB
gnS;GNS;Gemeinnützige Stiftung;BE;ECB
GuHsZ;GUHSZ;Genossenschaft mit unbeschränkter Haftung mit sozialer Zielsetzung;BE;ECB
GVoRP;GVORP;Gesellschaften oder Vereinigungen ohne Rechtspersönlichkeit;BE;ECB
HB, KB;HB, KB;Handelsbolag, kommanditbolag;SE;ECB
HF;HF;helseforetak;NO;OWN
HVZ;HVZ;Hulpverleningszone;BE;ECB
IC;IC;Intercommunale;BE;ECB
II;II;Individuali įmonė;LT;ECB
IK;IK;Individuālais komersants;LV;ECB
IK;IK;Interkommunale;BE;ECB
IKE;IKE;Ιδιωτική Κεφαλαιουχική Εταιρεία;GR;ECB
Inc;INC;Incorporated;GB;Own
incorporated;INC;incorporated;GB;OWN
Incorporated;INC;Incorporated;GB;OWN
IND;IND;Individuālais uzņēmums;LV;ECB
InvAG;INVAG;Investmentaktiengesellschaft;DE;ECB
INVCO;INVCO;Investment Company;MT;ECB
ISBL;ISBL;Institution sans but lucratif;BE;ECB
IVoG;IVOG;Internationale Vereinigung ohne Gewinnerzielungsabsicht;BE;ECB
IVS;IVS;Iværksætterselskab;DK;ECB
IVZW;IVZW;Internationale vereniging zonder winstoogmerk;BE;ECB
IZW;IZW;Instelling zonder winstoogmerk;BE;ECB
jdoo;JDOO;Jednostavno društvo s ograničenom odgovornošću;HR;ECB
JPahR;JPAHR;Juristische Person alten hamburgischen Rechts;DE;ECB
JSC;JSC;Joint Stock Company;...;OWN
JSO;JSO;Συμπλοιοκτησία;GR;ECB
jtd;JTD;Javno trgovačko društvo;HR;ECB
JV;JV;Κοινοπραξία;GR;ECB
k s;K S;Komanditná spoločnosť;SK;ECB
Kankenka;KANKENKA;Krankenkasse;BE;ECB
kb;KB;Kommandiittiyhtiö;FI;ECB
KB;KB;Kooperatīvā sabiedrība;LV;ECB
KBS;KBS;Kooperatīvo biedrību savienība;LV;ECB
KBU;KBU;Kooperatīvo biedrību uzņēmums;LV;ECB
kd;KD;Komanditno društvo;HR;ECB
kd;KD;Komanditna družba;SI;ECB
KD;KD;Командиртно дружество;BG;ECB
KDA;KDA;Командиртно дружество с акции;BG;ECB
kdd;KDD;Komanditna delniška družba;SI;ECB
Kft;KFT;Korlátolt felelosségu társaság;HU;ECB
KG;KG;Kommanditgesellschaft;AT;ECB
KG;KG;Kommanditgesellschaft;DE;ECB
KGaA;KGAA;Kommanditgesellschaft auf Aktien;DE;ECB
KGaA;KGAA;Kommanditgesellschaft auf Aktien;BE;ECB
KGaAmsZ;KGAAMSZ;Kommanditgesellschaft auf Aktien mit sozialer Zielsetzung;BE;ECB
Kht;KHT;Közhasznú társaság;HU;ECB
KK;KK;kabushiki kaisha;JP;OWN
KK;KK;kabushiki gaisha;JP;OWN
Kkt;KKT;Közkereseti társaság;HU;ECB
KO;KO;Kooperatinė bendrovė;LT;ECB
KöR;KÖR;Körperschaft des öffentlichen Rechts;DE;ECB
ks;KS;Společnost komanditní;CZ;ECB
KS;KS;Komandītsabiedrība;LV;ECB
kscc;KSCC;Kuwaiti Joint Stock Company;KW;OWN
kscp;KSCP;Kuwaiti Joint Stock Company;KW;OWN
