legal_entity_abbr;legal_entity_stan;legal_entity_full;country;source
FRAGEMEE;FRAGEMEE;Overheid van de Franse Gemeenschap;BE;
FrG;FRG;Behörde der Französischen Gemeinschaft;BE;
Fund;FUND;Fundação;PT;
FUP;FUP;Fondation d'utilité publique;BE;
GAEC;GAEC;Groupement agricole d'exploitation en commun;FR;
GaR;GAR;Gesellschaft des allgemeinen Rechts;BE;
GbG;GBG;In Gründung befindliche Gesellschaft;BE;
GbHsZ;GBHSZ;Genossenschaft mit beschränkter Haftung mit sozialer Zielsetzung;BE;
GbR;GBR;Gesellschaft bürgerlichen Rechts;DE;
GCW SO;GCW SO;Gewone commanditaire vennootschap met een sociaal oogmerk;BE;
GEIE;GEIE;Groupement européen d'intérêt économique;FR;
GEMEENTE;GEMEENTE;commune;BE;
Gemeinde;GEMEINDE;Stad;BE;
GEN;GEN;Erwerbs- und Wirtschaftsgenossenschaft;AT;
GenmbH;GENMBH;Genossenschaft mit beschränkter Haftung;BE;
GenmubH;GENMUBH;Genossenschaft mit unbeschränkter Haftung;BE;
GIE;GIE;Groupement d'intérêt économique | Grupul de interes economic | Groupement d'intérêt économique;FR | RO | BE;
GIE FS;GIE FS;Groupement d'intérêt économique à finalité sociale;BE;
GIM;GIM;Ģimenes uzņēmums;LV;
GIP;GIP;Groupement d'intérêt public;FR;
GIU;GIU;Gospodarsko interesno udruženje;HR;
GIZ;GIZ;Gospodarsko interesno združenje GIZ;SI;
GmbH;GMBH;Gesellschaft mit beschränkter Haftung;AT | DE;
GmbH & Co KG;GMBH & CO KG;Gesellschaft mit beschränkter Haftung & Compagnie Kommanditgesellschaft;DE;
GmbH & Co KGaA;GMBH & CO KGAA;Gesellschaft mit beschränkter Haftung & Compagnie Kommanditgesellschaft an Aktien;DE;
GmbH & Co OHG;GMBH & CO OHG;Gesellschaft mit beschränkter Haftung & Compagnie offene Handelsgesellschaft;DE;
GmuHGB;GMUHGB;Öffentlich-rechtliche Genossenschaft mit unbeschränkter Haftung, Genossenschaft auf Beteiligung;BE;
gnS;GNS;Gemeinnützige Stiftung;BE;
GuHsZ;GUHSZ;Genossenschaft mit unbeschränkter Haftung mit sozialer Zielsetzung;BE;
GVoRP;GVORP;Gesellschaften oder Vereinigungen ohne Rechtspersönlichkeit;BE;
HB, KB;HB, KB;Handelsbolag, kommanditbolag;SE;
HVZ;HVZ;Hulpverleningszone;BE;
IC;IC;Intercommunale;BE;
II;II;Individuali įmonė;LT;
IK;IK;Individuālais komersants | Interkommunale;LV |BE;
IKE;IKE;Ιδιωτική Κεφαλαιουχική Εταιρεία;GR;
Inc;INC;Incorporated;GB;Own
IND;IND;Individuālais uzņēmums;LV;
InvAG;INVAG;Investmentaktiengesellschaft;DE;
INVCO;INVCO;Investment Company;MT;
ISBL;ISBL;Institution sans but lucratif;BE;
IVoG;IVOG;Internationale Vereinigung ohne Gewinnerzielungsabsicht;BE;
IVS;IVS;Iværksætterselskab;DK;
IVZW;IVZW;Internationale vereniging zonder winstoogmerk;BE;
IZW;IZW;Instelling zonder winstoogmerk;BE;
jdoo;JDOO;Jednostavno društvo s ograničenom odgovornošću;HR;
JPahR;JPAHR;Juristische Person alten hamburgischen Rechts;DE;
JSO;JSO;Συμπλοιοκτησία;GR;
jtd;JTD;Javno trgovačko društvo;HR;
JV;JV;Κοινοπραξία;GR;
k s;K S;Komanditná spoločnosť;SK;
KB;KB;Kommandiittiyhtiö | Kooperatīvā sabiedrība;FI | LV;
KBS;KBS;Kooperatīvo biedrību savienība;LV;
KBU;KBU;Kooperatīvo biedrību uzņēmums;LV;
kd;KD;Komanditno društvo | Komanditna družba | Командиртно дружество;HR | SI | BG;
KDA;KDA;Командиртно дружество с акции;BG;
kdd;KDD;Komanditna delniška družba;SI;
Kft;KFT;Korlátolt felelosségu társaság;HU;
KG;KG;Kommanditgesellschaft;AT | DE;
KGaA;KGAA;Kommanditgesellschaft auf Aktien;DE | BE;
KGaAmsZ;KGAAMSZ;Kommanditgesellschaft auf Aktien mit sozialer Zielsetzung;BE;
Kht;KHT;Közhasznú társaság;HU;
Kkt;KKT;Közkereseti társaság;HU;
KO;KO;Kooperatinė bendrovė;LT;
KöR;KÖR;Körperschaft des öffentlichen Rechts;DE;
ks;KS;Společnost komanditní | Komandītsabiedrība;CZ | LV;
KSS;KSS;Kooperatīvo biedrību savienības uzņēmums;LV;
KUB;KUB;Komanditinė ūkinė bendrija;LT;
ky;KY;Kommandiittiyhtiö;FI;
Lda;LDA;Sociedade por Quotas;PT;
LF;LF;Labdaros ir paramos fondas;LT;
LG;LG;Landwirtschaftliche Gesellschaft;BE;
LH;LH;Pfandleihhaus;BE;
LIG;LIG;Līgumsabiedrība ar pilnu atbildību;LV;
Limited & Co KG;LIMITED & CO KG;Limited & Compagnie Kommanditgesellschaft;DE;
Limited & Co KGaA;LIMITED & CO KGAA;Limited & Compagnie Kommanditgesellschaft an Aktien;DE;
Limited & Co OHG;LIMITED & CO OHG;Limited & Compagnie offene Handelsgesellschaft;DE;
LLC;LLC;Limited Liability Company;GB;Own
LOKPOL;LOKPOL;Lokale politiezone;BE;
LP;LP;Lokale Polizeizone;BE;
LPRA;LPRA;Lietuvos prekybos, pramonės ir amatų rūmų asociacija;LT;
LTD;LTD;Ιδιωτική Εταιρεία | Private Company Limited by Shares | Limited;CY | IE | MT;
LV;LV;Landbouwvennootschap;BE;
MB;MB;Mažoji bendrija;LT;
MEV;MEV;Miteigentümervereinigung;BE;
MS;MS;Maatschap;BE;
MTÜ;MTÜ;Mittetulundusühing;EE;
MUTU;MUTU;Mutualité;BE;
MWSE;MWSE;Mehrwertsteuereinheit;BE;
NA;NA;Odborová organizace | Organizace zaměstnavatelů | Svěřenský fond | Nuolatinė komercinio arbitražo institucija;CZ |CZ | CZ |LT;
NO;NO;Nezisková organizácia;SK;
NV;NV;Naamloze vennootschap;NL | BE;
NV PR;NV PR;Naamloze vennootschap van publiek recht;BE;
NV SO;NV SO;Naamloze vennootschap met een sociaal oogmerk;BE;
OAP;OAP;Organismo da Administração Pública;PT;
OBA;OBA;Országos betétbiztosítási alap;HU;
OC;OC;Overseas Company;MT;
OCMW;OCMW;Openbaar centrum voor maatschappelijk welzijn;BE;
OE;OE;Ομόρρυθμη Εταιρεία;GR;
ÖE;ÖE;Öffentliche Einrichtung;BE;
OFE;OFE;otwarte fundusze emerytalne;PL;
OFP;OFP;Organisme de financement de pensions;BE;
ÖfrGmbH;ÖFRGMBH;Öffentlich-rechtliche Genossenschaft mit beschränkter Haftung;BE;
OG;OG;Offene Gesellschaft;AT;
OHG;OHG;Offene Handelsgesellschaft;DE | BE;
OHGmsZ;OHGMSZ;Offene Handelsgesellschaft mit sozialer Zielsetzung;BE;
OI;OI;Organizações Internacionais | Openbare instelling;PT | BE;
ONG;ONG;Organizație non-guvernamentală;RO;
OOD;OOD;Дружество с ограничена отговорност;BG;
op;OP;Osuuspankki;FI;
OPDRAVER;OPDRAVER;Opdrachthoudende vereniging;BE;
OPHLM;OPHLM;Office public d'habitation à loyer modéré;FR;
ops;OPS;Obecně prospěšná společnost;CZ;
Ö-rAG;Ö-RAG;Öffentlich-rechtliche Aktiengesellschaft;BE;
ÖrK;ÖRK;Öffentlich rechtliche Körperschaften;AT;
ÖrS;ÖRS;Öffentlich rechtliche Stiftungen;AT;
ÖrVgGe;ÖRVGGE;Öffentlich-rechtliche Versicherungsvereinigung auf Gegenseitigkeit;BE;
ÖrVohGza;ÖRVOHGZA;Öffentlich-rechtliche Vereinigung ohne Gewinnerzielungsabsicht;BE;
