stopword;stop_type;origin
national stock exchange of australia limited;stock exchanges;own
national stock exchange of india;stock exchanges;own
natural gas exchange;stock exchanges;own
nepal stock exchange;stock exchanges;own
new york cocoa, coffee and sugar exchange;stock exchanges;own
new york cotton exchange;stock exchanges;own
new york mercantile exchange;stock exchanges;own
new york mercantile exchange - energy markets;stock exchanges;own
new york mercantile exchange - otc markets;stock exchanges;own
new york stock exchange;stock exchanges;own
new york stock exchange, inc.;stock exchanges;own
new zealand exchange ltd;stock exchanges;own
new zealand futures and options exchange;stock exchanges;own
new zealand stock exchange;stock exchanges;own
new zealand stock exchange - auckland;stock exchanges;own
nigerian stock exchange;stock exchanges;own
niigata stock exchange;stock exchanges;own
nile stock exchange;stock exchanges;own
nodal exchange;stock exchanges;own
nordic derivatives exchange;stock exchanges;own
nyse american;stock exchanges;own
odessa commodity exchange;stock exchanges;own
osaka mercantile exchange;stock exchanges;own
osaka securities exchange;stock exchanges;own
osaka securities exchange jasdaq;stock exchanges;own
osaka securities exchange j-net;stock exchanges;own
osaka seni torihikijo;stock exchanges;own
osaka seni torihikijo (textile exchange);stock exchanges;own
oslo stock exchange;stock exchanges;own
otc exchange of india;stock exchanges;own
otc markets;stock exchanges;own
pacific exchange;stock exchanges;own
pakistan stock exchange;stock exchanges;own
palestine exchange;stock exchanges;own
palestine securities exchange;stock exchanges;own
peruvian stock exchange;stock exchanges;own
pex-private exchange;stock exchanges;own
pfts stock exchange;stock exchanges;own
philadelphia options exchange;stock exchanges;own
philippine stock exchange;stock exchanges;own
philippine stock exchange, inc.;stock exchanges;own
poee warsaw stock exchange energy market;stock exchanges;own
port moresby stock exchange;stock exchanges;own
power exchange central europe;stock exchanges;own
power exchange india ltd.;stock exchanges;own
prague stock exchange;stock exchanges;own
pridneprovsk commodity exchange;stock exchanges;own
qatar exchange;stock exchanges;own
qatar stock exchange;stock exchanges;own
regional exchange centre - micex far east;stock exchanges;own
regional exchange centre - micex south;stock exchanges;own
regional exchange centre - micex ural;stock exchanges;own
regional exchange centre - micex volga region;stock exchanges;own
republican stock exchange;stock exchanges;own
riga stock exchange;stock exchanges;own
rm-system czech stock exchange;stock exchanges;own
rm-system czech stock exchange (mtf);stock exchanges;own
romanian commodities exchange;stock exchanges;own
rosario future exchange;stock exchanges;own
russian trading system stock exchange;stock exchanges;own
rwanda stock exchange;stock exchanges;own
saint petersburg exchange;stock exchanges;own
saint-petersburg currency exchange;stock exchanges;own
samara currency interbank exchange;stock exchanges;own
santiago stock exchange;stock exchanges;own
sao paulo stock exchange;stock exchanges;own
sapporo securities exchange;stock exchanges;own
sarajevo stock exchange;stock exchanges;own
saudi stock exchange;stock exchanges;own
shanghai futures exchange;stock exchanges;own
shanghai gold exchange;stock exchanges;own
shanghai stock exchange;stock exchanges;own
shenzhen mercantile exchange;stock exchanges;own
shenzhen stock exchange;stock exchanges;own
siberian exchange;stock exchanges;own
siberian interbank currency exchange;stock exchanges;own
sibiu monetary- financial and commodities exchange;stock exchanges;own
singapore commodity exchange;stock exchanges;own
singapore exchange;stock exchanges;own
singapore exchange derivatives clearing limited;stock exchanges;own
singapore mercantile exchange pte ltd;stock exchanges;own
six swiss exchange;stock exchanges;own
six swiss exchange ag;stock exchanges;own
sk rm-s (slovak stock exchange);stock exchanges;own
south african futures exchange;stock exchanges;own
south african futures exchange - agricultural market division;stock exchanges;own
south korea stock exchange;stock exchanges;own
south pacific stock exchange;stock exchanges;own
spanish stock exchange;stock exchanges;own
st. petersburg international mercantile exchange;stock exchanges;own
stock exchange of mauritius;stock exchanges;own
stock exchange of mauritius ltd;stock exchanges;own
stock exchange of thailand;stock exchanges;own
stock exchange of thailand - foreign board;stock exchanges;own
stock exchange perspectiva;stock exchanges;own
stockholm stock exchange;stock exchanges;own
surabaya stock exchange;stock exchanges;own
swaziland stock exchange;stock exchanges;own
swiss exchange;stock exchanges;own
swiss options and financial futures exchange;stock exchanges;own
swiss stock exchange;stock exchanges;own
swx swiss exchange;stock exchanges;own
taiwan futures exchange;stock exchanges;own
taiwan international mercantile exchange;stock exchanges;own
taiwan stock exchange;stock exchanges;own
tallinn stock exchange - regulated market;stock exchanges;own
tehran stock exchange;stock exchanges;own
tel aviv stock exchange;stock exchanges;own
tel-aviv stock exchange;stock exchanges;own
thailand futures exchange;stock exchanges;own
the archipelago ecn;stock exchanges;own
