occurance;type;le_name;le_stand;source
End;abbr;cva so;CVA SO;ECB
End;full;coöperatieve vennootschap met beperkte aansprakelijkheid;CVBA;ECB
End;abbr;cvba;CVBA;ECB
End;full;coöperatieve vennootschap met beperkte aansprakelijkheid van publiek recht;CVBA PR;ECB
End;abbr;cvba pr;CVBA PR;ECB
End;full;coöperatieve vennootschap met beperkte aansprakelijkheid met een sociaal oogmerk;CVBA SO;ECB
End;abbr;cvba so;CVBA SO;ECB
End;full;coöperatieve vennootschap met onbeperkte aansprakelijkheid;CVOA;ECB
End;abbr;cvoa;CVOA;ECB
End;full;coöperatieve vennootschap met onbeperkte aansprakelijkheid, bij wijze van deelneming van publiek recht;CVOA CD;ECB
End;abbr;cvoa cd;CVOA CD;ECB
End;full;coöperatieve vennootschap met onbeperkte aansprakelijkheid met een sociaal oogmerk;CVOA SO;ECB
End;abbr;cvoa so;CVOA SO;ECB
End;abbr;dac;DAC;ECB
End;full;designated activity company;DAC;ECB
End;full;designated activity company limited by guarantee;DAC;ECB
End;abbr;dd;DD;ECB
End;full;delniška družba;DD;ECB
End;full;dioničko društvo;DD;ECB
End;full;behörde der deutschsprachigen gemeinschaft;DG;ECB
End;abbr;dg;DG;ECB
End;abbr;dienstv;DIENSTV;ECB
End;full;dienstverlenende vereniging;DIENSTV;ECB
End;full;dienstleistungsvereinigung;DLVFL;ECB
End;abbr;dlvfl;DLVFL;ECB
End;abbr;dno;DNO;ECB
End;full;družba z neomejeno odgovornostjo;DNO;ECB
End;abbr;doo;DOO;ECB
End;full;društvo s ograničenom odgovornošću;DOO;ECB
End;full;družba z omejeno odgovornostjo;DOO;ECB
End;abbr;duitgeme;DUITGEME;ECB
End;full;overheid van de duitstalige gemeenschap;DUITGEME;ECB
End;full;družba za vzajemno zavarovanje;DVZ;ECB
End;abbr;dvz;DVZ;ECB
End;abbr;dzzd;DZZD;ECB
End;abbr;ead;EAD;ECB
End;abbr;ee;EE;ECB
End;abbr;eeig;EEIG;ECB
End;full;european economic interest grouping;EEIG;ECB
End;abbr;eg;EG;ECB
End;full;eigentümergemeinschaft;EG;ECB
End;full;eingetragene genossenschaft;EG;ECB
End;abbr;egtc;EGTC;ECB
End;full;european grouping of territorial cooperation;EGTC;ECB
End;abbr;ei;EI;ECB
End;full;entreprise individuelle;EI;ECB
End;abbr;eirl;EIRL;ECB
End;full;estabelecimento individual de responsabilidade limitada;EIRL;ECB
End;abbr;ek för;EK FÖR;ECB
End;full;ekonomisk förening;EK FÖR;ECB
End;full;einfache kommanditgesellschaft;EKG;ECB
End;abbr;ekg;EKG;ECB
End;full;einfache kommanditgesellschaft mit sozialer zielsetzung;EKGMSZ;ECB
End;abbr;ekgmsz;EKGMSZ;ECB
End;full;einrichtung ohne gewinnerzielungsabsicht;EOG;ECB
End;abbr;eog;EOG;ECB
End;abbr;eood;EOOD;ECB
End;abbr;ep;EP;ECB
End;full;etablissement public;EP;ECB
End;full;entidade pública empresarial;EPE;ECB
End;abbr;epe;EPE;ECB
End;full;entidade pública municipal, intermunicipal e regional;EPMR;ECB
End;abbr;epmr;EPMR;ECB
End;full;economisch samenwerkingsverband;ESV;ECB
End;abbr;esv;ESV;ECB
End;full;economisch samenwerkingsverband met een sociaal oogmerk;ESV SO;ECB
End;abbr;esv so;ESV SO;ECB
End;abbr;et;ET;ECB
End;abbr;etspubli;ETSPUBLI;ECB
End;abbr;eupp;EUPP;ECB
End;full;europäische politische partei;EUPP;ECB
End;abbr;eups;EUPS;ECB
End;full;europäische politische stiftung;EUPS;ECB
End;full;eingetragener verein;EV;ECB
End;abbr;ev;EV;ECB
End;full;entwässerungsgenossenschaft - bewässerungsgenossenschaft;EWG-BWG;ECB
End;abbr;ewg-bwg;EWG-BWG;ECB
End;full;evropské zájmové hospodářské sdružení;EZHS;ECB
End;abbr;ezhs;EZHS;ECB
End;abbr;fcp;FCP;ECB
End;full;fonds commun de placement;FCP;ECB
End;full;autre forme de droit privé avec personnalité juridique;FDP PJ;ECB
End;abbr;fdp pj;FDP PJ;ECB
End;full;andere federale dienst;FEDEDIEN;ECB
End;abbr;fededien;FEDEDIEN;ECB
End;abbr;fiar;FIAR;ECB
End;full;fonds d'investissement alternatif reservé;FIAR;ECB
End;full;behörde der flämischen region und der flämischen gemeinschaft;FLRG;ECB
End;abbr;flrg;FLRG;ECB
End;abbr;fmba;FMBA;ECB
End;full;forening med begrænset ansvar;FMBA;ECB
End;full;federale overheidsdienst;FOD;ECB
End;abbr;fod;FOD;ECB
End;abbr;föd;FÖD;ECB
End;full;föderaler öffentlicher dienst;FÖD;ECB
End;full;anderer föderale dienst;FÖDD;ECB
End;abbr;född;FÖDD;ECB
End;abbr;fon;FON;ECB
End;full;fondation;FON;ECB
